prison_id,month,month_num,months_idx,capacity,population,undertrial_population,convict_population,occupancy_rate,overcrowding_gap,sec479_eligible,sec479_approaching,stuck_at_surety,intake_rate,release_rate,net_flow,seasonal_factor,ut_share
PRIS-MH-05,2025-02,2,5,3178,2354,1923,431,74.07,0,24,8,5,78,71,7,0.985,0.8172
PRIS-MH-05,2025-03,3,6,3178,2401,1872,529,75.55,0,19,6,4,133,49,84,1.0,0.7799
PRIS-MH-05,2025-04,4,7,3178,2396,1864,532,75.39,0,24,5,4,115,29,86,1.015,0.7783
PRIS-MH-05,2025-05,5,8,3178,2479,1948,531,78.01,0,24,11,8,124,52,72,1.026,0.786
PRIS-MH-05,2025-06,6,9,3178,2429,1697,732,76.43,0,22,10,3,96,25,71,1.03,0.6987
PRIS-MH-05,2025-07,7,10,3178,2420,1835,585,76.15,0,23,8,7,84,44,40,1.026,0.7584
PRIS-MH-05,2025-08,8,11,3178,2517,1886,631,79.2,0,22,10,3,147,28,119,1.015,0.7496
PRIS-MH-05,2025-08,8,12,3178,2482,1959,523,78.1,0,23,8,6,118,58,60,1.015,0.7894
PRIS-MH-05,2025-09,9,13,3178,2460,1957,503,77.41,0,26,12,4,76,94,-18,1.0,0.7959
PRIS-MH-05,2025-10,10,14,3178,2426,1914,512,76.34,0,18,4,4,82,66,16,0.985,0.7891
PRIS-MH-05,2025-11,11,15,3178,2481,1742,739,78.07,0,20,8,5,65,92,-27,0.974,0.7025
PRIS-MH-05,2025-12,12,16,3178,2484,1997,487,78.16,0,24,11,3,52,52,0,0.97,0.8041
PRIS-MH-05,2026-01,1,17,3178,2446,1880,566,76.97,0,19,5,6,131,85,46,0.974,0.7687
PRIS-MH-05,2026-02,2,18,3178,2316,1697,619,72.88,0,19,8,5,138,92,46,0.985,0.7328
PRIS-MH-05,2026-03,3,19,3178,2550,2053,497,80.24,0,24,11,7,76,59,17,1.0,0.8053
PRIS-MH-05,2026-04,4,20,3178,2502,1941,561,78.73,0,24,7,4,117,64,53,1.015,0.7759
PRIS-MH-05,2026-05,5,21,3178,2778,2120,658,87.41,0,28,12,7,117,100,17,1.026,0.7633
PRIS-MH-05,2026-06,6,22,3178,2600,1954,646,81.81,0,25,6,4,53,53,0,1.03,0.7518
PRIS-MH-05,2026-07,7,23,3178,2760,1953,807,86.85,0,25,8,8,93,70,23,1.026,0.7079
PRIS-MH-06,2024-09,9,0,1500,604,433,171,40.27,0,7,2,2,23,11,12,1.0,0.7181
PRIS-MH-06,2024-10,10,1,1500,576,414,162,38.4,0,9,2,1,14,8,6,0.985,0.7204
PRIS-MH-06,2024-11,11,2,1500,586,428,158,39.07,0,8,3,1,27,8,19,0.974,0.7313
PRIS-MH-06,2024-12,12,3,1500,569,423,146,37.93,0,8,2,1,14,13,1,0.97,0.7436
PRIS-MH-06,2025-01,1,4,1500,590,426,164,39.33,0,10,2,3,26,7,19,0.974,0.7236
PRIS-MH-06,2025-02,2,5,1500,618,467,151,41.2,0,9,3,2,16,10,6,0.985,0.7562
PRIS-MH-06,2025-03,3,6,1500,632,436,196,42.13,0,7,2,2,13,11,2,1.0,0.6905
PRIS-MH-06,2025-04,4,7,1500,684,531,153,45.6,0,11,3,2,16,16,0,1.015,0.7768
PRIS-MH-06,2025-05,5,8,1500,644,493,151,42.93,0,9,1,1,18,12,6,1.026,0.7656
PRIS-MH-06,2025-06,6,9,1500,661,535,126,44.07,0,12,5,2,15,17,-2,1.03,0.8102
PRIS-MH-06,2025-07,7,10,1500,731,567,164,48.73,0,10,2,2,33,19,14,1.026,0.7757
PRIS-MH-06,2025-08,8,11,1500,699,501,198,46.6,0,11,2,1,20,10,10,1.015,0.7176
PRIS-MH-06,2025-08,8,12,1500,703,515,188,46.87,0,11,3,3,17,15,2,1.015,0.7336
PRIS-MH-06,2025-09,9,13,1500,700,519,181,46.67,0,11,2,3,40,18,22,1.0,0.7422
PRIS-MH-06,2025-10,10,14,1500,682,529,153,45.47,0,10,2,2,27,11,16,0.985,0.7758
PRIS-MH-06,2025-11,11,15,1500,735,563,172,49.0,0,10,2,2,19,17,2,0.974,0.7673
PRIS-MH-06,2025-12,12,16,1500,717,545,172,47.8,0,10,2,3,23,24,-1,0.97,0.761
PRIS-MH-06,2026-01,1,17,1500,739,579,160,49.27,0,10,4,2,28,16,12,0.974,0.7846
PRIS-MH-06,2026-02,2,18,1500,782,589,193,52.13,0,13,6,2,17,25,-8,0.985,0.7534
PRIS-MH-06,2026-03,3,19,1500,779,618,161,51.93,0,13,3,4,21,11,10,1.0,0.7946
PRIS-MH-06,2026-04,4,20,1500,829,619,210,55.27,0,13,3,4,29,28,1,1.015,0.7469
PRIS-MH-06,2026-05,5,21,1500,895,625,270,59.67,0,11,3,2,44,22,22,1.026,0.6984
PRIS-MH-06,2026-06,6,22,1500,869,654,215,57.93,0,15,7,4,21,33,-12,1.03,0.753
PRIS-MH-06,2026-07,7,23,1500,814,582,232,54.27,0,13,3,4,36,21,15,1.026,0.7152
PRIS-UP-01,2024-09,9,0,1706,1355,1046,309,79.43,0,13,5,2,57,44,13,1.0,0.7721
PRIS-UP-01,2024-10,10,1,1706,1347,1009,338,78.96,0,15,6,2,72,18,54,0.985,0.7496
PRIS-UP-01,2024-11,11,2,1706,1444,1078,366,84.64,0,14,5,4,65,44,21,0.974,0.7467
PRIS-UP-01,2024-12,12,3,1706,1387,986,401,81.3,0,14,4,2,78,38,40,0.97,0.711
PRIS-UP-01,2025-01,1,4,1706,1405,969,436,82.36,0,13,4,1,77,53,24,0.974,0.6903
PRIS-UP-01,2025-02,2,5,1706,1604,1304,300,94.02,0,19,9,5,41,43,-2,0.985,0.8135
PRIS-UP-01,2025-03,3,6,1706,1476,1205,271,86.52,0,17,8,4,36,58,-22,1.0,0.8166
PRIS-UP-01,2025-04,4,7,1706,1595,1333,262,93.49,0,19,6,3,53,54,-1,1.015,0.8362
PRIS-UP-01,2025-05,5,8,1706,1679,1159,520,98.42,0,15,4,4,63,28,35,1.026,0.6904
PRIS-UP-01,2025-06,6,9,1706,1706,1238,468,100.0,0,17,4,4,62,63,-1,1.03,0.7262
PRIS-UP-01,2025-07,7,10,1706,1755,1236,519,102.87,49,15,7,2,64,22,42,1.026,0.7047
PRIS-UP-01,2025-08,8,11,1706,1739,1321,418,101.93,33,18,6,2,86,28,58,1.015,0.76
PRIS-UP-01,2025-08,8,12,1706,1739,1329,410,101.93,33,23,5,7,66,44,22,1.015,0.7647
PRIS-UP-01,2025-09,9,13,1706,1693,1181,512,99.24,0,14,5,2,46,60,-14,1.0,0.6976
PRIS-UP-01,2025-10,10,14,1706,1750,1357,393,102.58,44,20,6,3,45,55,-10,0.985,0.7758
PRIS-UP-01,2025-11,11,15,1706,1700,1287,413,99.65,0,18,4,3,79,18,61,0.974,0.7573
PRIS-UP-01,2025-12,12,16,1706,1802,1362,440,105.63,96,20,5,3,53,57,-4,0.97,0.7561
PRIS-UP-01,2026-01,1,17,1706,1779,1364,415,104.28,73,19,6,5,50,33,17,0.974,0.767
PRIS-UP-01,2026-02,2,18,1706,1799,1462,337,105.45,93,18,5,4,55,51,4,0.985,0.8129
PRIS-UP-01,2026-03,3,19,1706,1911,1523,388,112.02,205,16,5,3,110,62,48,1.0,0.7974
PRIS-UP-01,2026-04,4,20,1706,2084,1581,503,122.16,378,21,4,4,86,60,26,1.015,0.7591
PRIS-UP-01,2026-05,5,21,1706,2170,1608,562,127.2,464,21,9,7,89,32,57,1.026,0.7413
PRIS-UP-01,2026-06,6,22,1706,2028,1574,454,118.87,322,26,11,4,41,28,13,1.03,0.7766
PRIS-UP-01,2026-07,7,23,1706,2211,1787,424,129.6,505,29,11,5,125,49,76,1.026,0.8086
