prisoner_id,case_cnr,prison_id,prison_name,prison_state,prison_district,prison_capacity,total_prison_population,occupancy_rate,overcrowding_level,available_beds,overcrowding_gap,undertrial_population,convict_population,eligibility_result,release_barrier
UTP-2026-0041,MAMU01-753064-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0042,MAMU01-239890-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0043,MAMU01-620306-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0044,MAMU01-559457-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0045,MAMU01-848022-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0046,MAMU01-588461-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0047,MAMU01-690996-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0048,MAMU01-353480-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0049,MAMU01-377319-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Approaching,Court hearing pending
UTP-2026-0050,MAMU01-983532-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0051,MAMU01-594514-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0052,MAMU01-144109-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0053,MAMU01-783984-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0054,MAMU01-284019-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0055,MAMU01-536045-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0056,MAMU01-706403-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0057,MAMU01-854024-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0058,MAMU01-416422-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0059,MAMU01-969695-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0060,MAMU01-980521-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0061,MAMU01-177941-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0062,MAMU01-692447-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0063,MAMU01-888795-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0064,MAMU01-186023-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0065,MAMU01-275329-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0066,MAMU01-691240-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Approaching,Court hearing pending
UTP-2026-0067,MAMU01-810380-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0068,MAMU01-123682-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0069,MAMU01-511612-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0070,MAMU01-619013-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0071,MAMU01-223088-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0072,MAMU01-763121-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0073,MAMU01-921967-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0074,MAMU01-542828-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0075,MAMU01-680278-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0076,MAMU01-400404-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0077,MAMU01-243876-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Approaching,Court hearing pending
UTP-2026-0078,MAMU01-257375-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0079,MAMU01-913575-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0080,MAMU01-695403-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0081,MAMU01-473023-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0082,MAMU01-701761-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0083,MAMU01-950069-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0084,MAMU01-100716-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0085,MAMU01-700660-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Court hearing pending
UTP-2026-0086,MAMU01-493580-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0087,MAMU01-857111-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0088,MAMU01-977740-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0089,MAMU01-370413-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0090,MAMU01-447596-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0091,MAMU01-130354-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0092,MAMU01-336047-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0093,MAMU01-642421-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0094,MAMU01-812730-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0095,MAMU01-613358-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0096,MAMU01-951452-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0097,MAMU01-539170-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0098,MAMU01-809641-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0099,MAMU01-237002-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0100,MAMU01-346415-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0101,MAMU01-457938-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0102,MAMU01-285810-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0103,MAMU01-438041-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0104,MAMU01-922405-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0105,MAMU01-614379-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0106,MAMU01-369054-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0107,MAMU01-527433-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0108,MAMU01-680412-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0109,MAMU01-204904-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0110,MAMU01-862760-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0111,MAMU01-476224-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0112,MAMU01-245718-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0113,MAMU01-690982-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0114,MAMU01-197716-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0115,MAMU01-493247-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0116,MAMU01-105547-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0117,MAMU01-116112-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0118,MAMU01-370343-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0119,MAMU01-808640-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0120,MAMU01-372315-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0121,DEWE01-414608-2025,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0122,DEWE01-453777-2026,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0123,DEWE01-424398-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0124,DEWE01-591989-2023,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0125,DEWE01-660957-2023,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0126,DEWE01-871041-2023,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0127,DEWE01-896456-2023,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0128,DEWE01-576136-2023,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Blocked_Multiple_FIRs,
UTP-2026-0129,DEWE01-835381-2025,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0130,DEWE01-903506-2025,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0131,DEWE01-414922-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Eligible,
UTP-2026-0132,DEWE01-956835-2026,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0133,DEWE01-236708-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0134,DEWE01-157187-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Blocked_Multiple_FIRs,
UTP-2026-0135,DEWE01-780956-2026,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Eligible,Court hearing pending
UTP-2026-0136,DEWE01-458388-2026,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Excluded_Life_Or_Death,
UTP-2026-0137,DEWE01-130915-2025,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Eligible,
UTP-2026-0138,DEWE01-878427-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Blocked_Multiple_FIRs,
UTP-2026-0139,DEWE01-583757-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Blocked_Multiple_FIRs,
UTP-2026-0140,DEWE01-636521-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
UTP-2026-0141,DEWE01-106892-2024,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Approaching,Court hearing pending
UTP-2026-0142,DEWE01-387748-2025,PRIS-DL-01,Tihar Central Prison No. 4,Delhi,West Delhi,740,1485,200.7,Severe,0,745,1129,356,Ineligible_Under_Time,
